TEXT_text_len,TEXT_percent_punctuation,TEXT_percent_uppercase,TEXT_text_sentiment,TEXT_percent_bad_words,TEXT_valence,TEXT_arousal,TEXT_glove1,TEXT_glove2,TEXT_glove3,id,AUDIO_text_len,AUDIO_text_sentiment,AUDIO_percent_bad_words,AUDIO_valence,AUDIO_arousal,AUDIO_speech_percent,AUDIO_music_percent,AUDIO_silence_percent,AUDIO_loudness,AUDIO_glove1,AUDIO_glove2,AUDIO_glove3,id,VISUAL_num_faces,VISUAL_valence,VISUAL_arousal,VISUAL_gore,VISUAL_explicit,VISUAL_drug,VISUAL_suggestive,VISUAL_ocr_len,VISUAL_labels1,VISUAL_labels2,VISUAL_labels3,id,bully
5900,0.051864407,0.098983051,0.9998,0.018621974,6.269026846,4.447718121,-0.308539301,0.229137023,0.05481586,1.08E+18,124,0.6836,0,-0.24796246,-0.431968274,0.833333333,0.166666667,0,0.46469637,2.994919164,1.11E-05,-0.142421751,1.08E+18,0,-0.077227083,0.003345833,0.121265494,0.176928638,0.071883425,0.095076512,0,-0.140655585,0.422713695,-0.051597568,1.08E+18,noneBll
2006,0.032402792,0.038384845,-0.9988,0.029255319,4.77394958,4.549495798,-0.3381442,0.231156182,0.139321744,1.12E+18,116,0,0,0.765381665,0.670803794,1,0,0,0.21171775,2.412907559,0.990299937,-0.389306541,1.12E+18,0,0,0,5.49E-05,6.97E-05,0.000127222,0.000149547,3.833333333,0.28217137,0.121672773,0.06459483,1.12E+18,noneBll
476,0.018907563,0.071428571,0.9594,0.087912088,6.132962963,4.226666667,-0.193416887,-0.207916225,-0.081401802,1.01E+18,0,0,0,0.629897858,0.670603767,0,1,0,0.111151003,-2.313889344,-0.05190521,-0.024856726,1.01E+18,0,0,0,0.003494558,0.194471617,0.067911212,0.231171321,0,0.085947443,-0.221445762,0.021952348,1.01E+18,noneBll
2248,0.047597865,0.097864769,0.9839,0.029268293,6.029189189,4.088918919,-0.198260408,-0.030851257,0.017428871,1.00E+18,0,0,0,-0.261539565,0.437043294,0.857142857,0.142857143,0,0.263575994,-2.313889344,-0.05190521,-0.024856726,1.00E+18,0,-0.017638542,0.006520833,0.007415561,0.012575005,0.02341576,0.208229051,0,-0.140204991,-0.240971999,0.198790873,1.00E+18,noneBll
807,0.210656753,0.063197026,0.9595,0.037383178,5.828461538,4.368461538,0.355768085,-0.008185295,-0.354073508,1.02E+18,0,0,0,0.158650321,0.331426388,0.857142857,0.142857143,0,0.181280403,-2.313889344,-0.05190521,-0.024856726,1.02E+18,0,0,0,0.004016921,0.111525807,0.078706268,0.190192888,0,0.347749296,-0.22497886,-0.06893641,1.02E+18,noneBll
1451,0.044107512,0.101998622,0.5941,0.021097046,5.5475,4.303125,0.109450103,-0.083373566,-0.056276734,1.14E+18,48,-0.25,0,-0.349372203,-0.216290705,0,1,0,0.071087698,2.847923122,1.69633647,-0.499779869,1.14E+18,0,5.21E-06,-2.08E-05,7.25E-05,0.006696799,0.001807152,0.055760223,8,0.090469336,0.489252219,0.12748154,1.14E+18,noneBll
1545,0.026537217,0.102265372,0.9976,0.014440433,6.139782609,4.63326087,0.374128909,-0.11824185,-0.262949064,1.13E+18,22,0,0,0.034546053,-0.061883764,0.666666667,0.333333333,0,0.243845869,3.253244893,0.283768474,-0.434439158,1.13E+18,1,-0.075404167,0.0037875,0.002293311,0.609185052,0.026073172,0.101774146,0,-0.099973936,0.226055098,-0.221616344,1.13E+18,noneBll
930,0.062365591,0.033333333,0.9733,0.006666667,5.957560976,4.08097561,0.380448753,0.145076739,0.102045206,1.16E+18,0,0,0,-0.486287844,-0.512679562,0.571428571,0.428571429,0,0.446988107,-2.313889344,-0.05190521,-0.024856726,1.16E+18,0,0,0,0.000677699,0.004279838,0.010149654,0.013891402,0.666666667,0.469513339,0.460862678,0.343947861,1.16E+18,noneBll
417,0.067146283,0.254196643,-0.9047,0.095238095,5.180952381,4.745714286,-0.039018183,-0.08524899,-0.006219235,1.08E+18,0,0,0,0.279402269,0.235904045,1,0,0,0.254740568,-2.313889344,-0.05190521,-0.024856726,1.08E+18,0,-0.035665625,0.001891667,0.001472598,0.282130222,0.009102864,0.217174707,0,-0.427926394,-0.041872985,-0.093954591,1.08E+18,noneBll
548,0.169708029,0.178832117,0.3423,0.064102564,5.650952381,4.055238095,-0.024195616,-0.059844859,-0.165746658,1.10E+18,10,0,0.5,-0.520415191,0.281677301,0,1,0,-0.068958583,0.098909911,1.193670781,1.197743976,1.10E+18,0,-0.0123375,0.000908333,0.00321939,0.307249999,0.019808834,0.030317611,0,0.236075665,-0.103657559,-0.256599263,1.10E+18,noneBll
